#===============
# Experiment : ATLAS
# Search : ATLAS_CONF_2021_025
# ll~ : tavt
# qq~ : cd~
# FF  : vector
# XY  :  LL RR
# coef : 0 0
# type : W*W
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
# 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1750 2000 10000 
0.047596  200.0  300.0  0.00586	0.06674	0.04014	0.0071	0.00032	2e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.006555  300.0  400.0  0.00324	0.0434	0.04874	0.04896	0.02822	0.00634	0.00046	0.0	2e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	
0.001398  400.0  500.0  0.00222	0.02618	0.03268	0.0362	0.03498	0.03562	0.02012	0.00576	0.00044	4e-05	4e-05	0.0	0.0	0.0	0.0	0.0	
0.000383  500.0  600.0  0.0018	0.01988	0.0227	0.0262	0.0263	0.02822	0.0274	0.02608	0.01552	0.00446	0.00036	2e-05	2e-05	0.0	0.0	0.0	
0.000122  600.0  700.0  0.00112	0.01366	0.01742	0.02046	0.02102	0.0216	0.02238	0.02256	0.02186	0.02022	0.01234	0.00346	0.00054	2e-05	0.0	0.0	
4.4e-05  700.0  800.0  0.00068	0.01104	0.01468	0.01578	0.01724	0.01832	0.01798	0.01956	0.01816	0.01756	0.01706	0.01568	0.01022	0.00354	4e-05	0.0	
1.7e-05  800.0  900.0  0.0008	0.00842	0.01172	0.01272	0.01356	0.01478	0.01604	0.01586	0.01608	0.01546	0.01414	0.01414	0.0133	0.02288	0.00116	0.0	
7e-06  900.0  1000.0  0.00046	0.00624	0.00938	0.01072	0.01102	0.01188	0.01306	0.01352	0.01404	0.01302	0.01278	0.01172	0.0117	0.02862	0.01374	0.00044	
3e-06  1000.0  1100.0  0.0004	0.00468	0.00784	0.01006	0.00914	0.01076	0.0105	0.01172	0.01304	0.01186	0.0114	0.01072	0.01132	0.02436	0.02252	0.00822	
1e-06  1100.0  1200.0  0.00034	0.00384	0.00678	0.00806	0.0082	0.00874	0.00944	0.01002	0.01004	0.01082	0.01042	0.00952	0.00952	0.02348	0.02058	0.02096	
1e-06  1200.0  1300.0  0.00026	0.00374	0.00516	0.00644	0.00698	0.0076	0.00806	0.00896	0.00804	0.00928	0.0088	0.00892	0.00872	0.0206	0.01906	0.03164	
0.0  1300.0  1400.0  0.0003	0.0026	0.0038	0.00574	0.00696	0.00732	0.00778	0.0076	0.00772	0.00796	0.0076	0.00724	0.00846	0.01916	0.01658	0.0403	
0.0  1400.0  1500.0  0.0003	0.00236	0.00326	0.00552	0.00584	0.0063	0.00686	0.0067	0.00716	0.0066	0.00688	0.00704	0.00712	0.0178	0.0165	0.04676	
0.0  1500.0  1750.0  0.00014	0.00204	0.00246	0.00326	0.004	0.00578	0.00638	0.00664	0.00632	0.00656	0.00592	0.00622	0.0056	0.01474	0.01438	0.05338	
0.0  1750.0  2000.0  0.00018	0.00216	0.00206	0.00232	0.00288	0.00406	0.00414	0.00408	0.00454	0.00528	0.0048	0.00452	0.00482	0.01174	0.01088	0.05806	
0.0  2000.0  10000.0  0.00016	0.0016	0.00144	0.00192	0.00188	0.00278	0.00378	0.0036	0.00328	0.004	0.0037	0.0041	0.0043	0.00988	0.0085	0.06386	
