#===============
# Experiment : CMS
# Search : CMS_PAS_EXO_19_014
# ll~ : muta
# qq~ : ss~
# FF  : vector
# XY  : LR RL
# coef : 0 0
# type : V2*V2
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
# 200.0 250.0 300.0 350.0 400.0 450.0 500.0 550.0 600.0 650.0 725.0 800.0 900.0 1000.0 1100.0 1200.0 1300.0 1400.0 1550.0 1700.0 1850.0 2000.0 2200.0 2400.0 2700.0 3000.0 15000.0 
82.074  200.0  300.0  0.03158	0.05586	0.01248	0.00078	0.00014	0.00014	4e-05	0.0	4e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
58.242  300.0  400.0  0.00042	0.00776	0.08156	0.08992	0.02118	0.00136	0.00034	0.00016	0.00014	6e-05	6e-05	6e-05	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
41.396  400.0  500.0  0.00016	0.00036	0.00122	0.01652	0.10488	0.10744	0.02714	0.00274	0.00064	0.00026	0.00022	6e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
29.462  500.0  600.0  0.00014	0.0002	0.00062	0.00072	0.00238	0.02414	0.11692	0.11224	0.03322	0.00528	0.0009	0.0002	0.00016	8e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
25.42  600.0  725.0  4e-05	0.0002	0.00026	0.00034	0.00064	0.00098	0.00412	0.02762	0.09682	0.1448	0.03676	0.0042	0.00072	0.00026	4e-05	2e-05	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	
10.9112  725.0  800.0  6e-05	0.00018	0.0001	0.00024	0.00042	0.00078	0.001	0.00178	0.0043	0.05718	0.18924	0.07106	0.00446	0.00106	0.0003	0.0001	0.0001	4e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10.9804  800.0  900.0  6e-05	0.00012	0.0001	0.00014	0.00034	0.00036	0.00064	0.00056	0.00118	0.00684	0.0539	0.20314	0.0624	0.00616	0.00162	0.00034	0.00014	8e-05	2e-05	0.0	2e-05	2e-05	2e-05	0.0	0.0	0.0	
7.9796  900.0  1000.0  2e-05	4e-05	0.00012	0.0001	0.00018	0.00022	0.0004	0.0004	0.00056	0.00178	0.0056	0.06524	0.1901	0.06902	0.0094	0.00172	0.00062	0.0003	6e-05	4e-05	6e-05	2e-05	0.0	0.0	0.0	0.0	
5.8302  1000.0  1100.0  0.0	4e-05	6e-05	8e-05	0.00012	0.0002	0.00018	0.00028	0.00026	0.00088	0.002	0.0093	0.06928	0.17418	0.07298	0.01266	0.00292	0.00114	0.00032	0.0001	4e-05	0.0	0.0	2e-05	0.0	0.0	
4.2832  1100.0  1200.0  6e-05	4e-05	4e-05	0.00014	0.00016	0.00012	0.00018	0.00014	0.00034	0.0005	0.00066	0.00204	0.0123	0.076	0.15282	0.07726	0.01736	0.00482	0.00106	0.00034	0.00014	0.00014	4e-05	0.0	2e-05	0.0	
5.5388  1200.0  1400.0  6e-05	0.0	0.0001	0.00014	2e-05	0.00012	0.00014	0.00012	0.00014	0.00046	0.00058	0.00122	0.00248	0.01184	0.05424	0.1132	0.0976	0.05298	0.0096	0.00204	0.00072	0.00034	6e-05	4e-05	2e-05	0.0	
4.1076  1400.0  1700.0  2e-05	2e-05	8e-05	2e-05	6e-05	0.0001	2e-05	0.00014	0.00014	0.00024	0.00014	0.00054	0.00082	0.00146	0.00444	0.0153	0.0445	0.1229	0.09594	0.03894	0.01192	0.0035	0.00062	0.00034	0.0001	6e-05	
1.79964  1700.0  2000.0  0.0	2e-05	2e-05	2e-05	2e-05	2e-05	6e-05	6e-05	4e-05	0.0002	0.00024	0.0003	0.00034	0.00044	0.00074	0.00118	0.00344	0.0164	0.05812	0.0987	0.08304	0.05308	0.01428	0.00514	0.0009	0.00044	
0.98492  2000.0  2400.0  2e-05	4e-05	4e-05	2e-05	2e-05	4e-05	2e-05	6e-05	6e-05	8e-05	0.00018	0.00012	0.00026	0.0003	0.00038	0.00048	0.00066	0.0023	0.00706	0.02138	0.04898	0.09984	0.08098	0.05056	0.0125	0.00392	
0.30594  2400.0  2700.0  0.0	2e-05	4e-05	4e-05	4e-05	0.0	4e-05	2e-05	6e-05	4e-05	4e-05	0.0001	0.00014	0.0002	0.00024	0.0002	0.00034	0.00054	0.0013	0.00292	0.00806	0.02684	0.06158	0.1141	0.06086	0.03094	
0.150874  2700.0  3000.0  2e-05	4e-05	0.0	6e-05	2e-05	2e-05	6e-05	2e-05	4e-05	8e-05	6e-05	0.0001	0.0001	0.00012	0.00012	0.00028	0.00014	0.0004	0.00056	0.00162	0.0023	0.00758	0.01842	0.07214	0.09072	0.09952	
0.162754  3000.0  15000.0  4e-05	2e-05	2e-05	0.0	2e-05	0.0	0.0	6e-05	2e-05	6e-05	8e-05	0.0001	6e-05	8e-05	0.00012	0.00016	0.00012	0.0003	0.00014	0.0005	0.00078	0.00196	0.00432	0.01676	0.03816	0.1992	
